longitude,latitude,municipality,direction1Municipality,direction2Municipality,tmsNumber,name
23.42946,61.58514,Hämeenkyrö,Hämeenkyrö,Ylöjärvi,203,vt3_Hämeenkyrö
22.975875,61.912381,Ikaalinen,Parkano,Ikaalinen,204,vt3_Ikaalinen
22.838086,61.315328,Sastamala,Vammala,Huittinen,210,vt12_Vammala
23.765753,61.408751,Lempäälä,Tampere,Hämeenlinna,401,vt3_Lempäälä_Sääksjärvi
24.057586,61.149148,Valkeakoski,Tampere,Hämeenlinna,402,st130_Jutikkala
24.071581,61.549823,Kangasala,Orivesi,Tampere,404,vt9_Kangasala_Suinula
23.368056,61.503859,Nokia,Pori,Tampere,406,vt11_Nokia_Linnavuori
24.027612,62.01343,Ruovesi,Virrat,Ruovesi,409,kt66_Ruovesi
23.607493,61.54414,Ylöjärvi,Hämeenkyrö,Tampere,421,kt65_Ylöjärvi
23.738401,61.241797,Akaa,Tampere,Urjala,422,st190_Viiala
23.977413,61.478619,Kangasala,Kangasala,Tampere,431,vt12_Kangasala_Suorama
23.955748,61.28564,Valkeakoski,Tampere,Hämeenlinna,433,st130_Pispantie
23.808471,61.463652,Tampere,Orivesi,Tampere,435,vt9_Tre_Karkuvuori
23.586782,61.478807,Nokia,Nokia,Tampere,436,yt13782_Nokia_Rajasalmi
23.697679,61.508408,Tampere,Tampere,Nokia,438,vt12_Tre_Paasikiventie
23.821503,61.504163,Tampere,Kangasala,Tampere,439,vt12_Tre_Teiskontie
23.837494,61.2527,Lempäälä,Tampere,Hämeenlinna,440,vt3_Lempäälä_Lippo
23.711674,61.504828,Tampere,Tampere,Nokia,443,Tre_Pispalan_valtatie
23.647575,61.115503,Akaa,Tampere,Humppila,445,vt9_Kylmäkoski
24.70895,61.73148,Orivesi,Jämsä,Orivesi,448,vt9_Orivesi_Talviainen
23.74535,61.460262,Tampere,Nokia,Tampere,449,vt3_Tre_Sarankulma
23.568131,61.515739,Tampere,Ylöjärvi,Nokia,450,vt3_Myllypuro
23.939764,61.528153,Tampere,Orivesi,Tampere,451,vt9_Tre_Aitovuori
23.724675,61.503156,Tampere,Tampere,Nokia,452,vt12_Tre_Onkiniemi
23.739676,61.502302,Tampere,Tampere,Nokia,453,Tampere_Mustalahti
23.654093,61.517417,Tampere,Ylöjärvi,Tampere,455,kt65_Tre_Epilänharju
23.679207,61.511616,Tampere,Ylöjärvi,Tampere,456,kt65_Tre_Lielahti
23.785048,61.50648,Tampere,Kangasala,Nokia,457,vt12_Tre_Petsamo
23.852788,61.504198,Tampere,Kangasala,Tampere,458,vt12_Tampere_Ruotula
23.636382,61.45259,Pirkkala,Nokia,Tampere,460,vt3_Pirkkala_Huovi
23.588359,61.477796,Nokia,Nokia,Tampere,462,vt3_Nokia_Rajasalmi
23.617727,61.459451,Pirkkala,Nokia,Tampere,463,vt3_Pirkkala_Sankila
23.775252,61.479608,Tampere,Tampere,Hämeenlinna,464,yt3495_Rautaharkko
23.759727,61.439193,Tampere,Tampere,Hämeenlinna,471,vt3_Tampere_Multisilta
25.146808,61.488543,Kuhmoinen,Jämsä,Lahti,921,vt24_Kuhmoinen
